Date,Open,High,Low,Close,Volume
5-Feb-16,0.61,0.62,0.60,0.60,36400
4-Feb-16,0.61,0.62,0.61,0.62,39825
3-Feb-16,0.61,0.61,0.60,0.61,142100
2-Feb-16,0.56,0.61,0.56,0.61,64061
1-Feb-16,0.57,0.57,0.54,0.57,30294
29-Jan-16,0.57,0.57,0.56,0.56,24400
28-Jan-16,0.57,0.57,0.56,0.56,25808
27-Jan-16,0.56,0.57,0.56,0.57,11500
26-Jan-16,0.55,0.57,0.55,0.57,2000
25-Jan-16,0.54,0.54,0.52,0.54,13145
22-Jan-16,0.54,0.54,0.53,0.53,10500
21-Jan-16,0.51,0.52,0.50,0.50,25175
20-Jan-16,0.50,0.51,0.47,0.51,211157
19-Jan-16,0.52,0.52,0.50,0.51,49582
15-Jan-16,0.54,0.54,0.48,0.50,27950
14-Jan-16,0.55,0.56,0.53,0.55,34993
13-Jan-16,0.56,0.57,0.54,0.54,55800
12-Jan-16,0.54,0.54,0.54,0.54,600
11-Jan-16,0.59,0.59,0.54,0.54,55309
8-Jan-16,0.55,0.56,0.54,0.56,19000
7-Jan-16,0.52,0.52,0.51,0.51,15850
6-Jan-16,0.53,0.53,0.51,0.51,68570
5-Jan-16,0.54,0.54,0.52,0.53,25605
4-Jan-16,0.51,0.52,0.51,0.52,16280
31-Dec-15,0.49,0.51,0.49,0.51,4000
30-Dec-15,0.49,0.50,0.49,0.50,4050
29-Dec-15,0.51,0.51,0.48,0.48,29864
28-Dec-15,0.52,0.52,0.52,0.52,4000
24-Dec-15,0.49,0.49,0.48,0.49,7670
23-Dec-15,0.50,0.50,0.49,0.50,6400
21-Dec-15,0.50,0.51,0.49,0.49,27450
18-Dec-15,0.47,0.47,0.47,0.47,1400
17-Dec-15,0.47,0.47,0.47,0.47,5000
16-Dec-15,0.46,0.47,0.46,0.47,20000
15-Dec-15,0.44,0.44,0.44,0.44,1000
11-Dec-15,0.43,0.43,0.43,0.43,15000
10-Dec-15,0.43,0.43,0.43,0.43,28200
9-Dec-15,0.45,0.45,0.41,0.41,60500
7-Dec-15,0.47,0.47,0.44,0.44,137547
4-Dec-15,0.48,0.48,0.48,0.48,470
3-Dec-15,0.47,0.48,0.47,0.48,6000
2-Dec-15,0.48,0.48,0.48,0.48,20000
1-Dec-15,0.48,0.48,0.48,0.48,57500
30-Nov-15,0.48,0.48,0.48,0.48,26900
27-Nov-15,0.47,0.47,0.47,0.47,22600
25-Nov-15,0.46,0.48,0.46,0.47,26300
24-Nov-15,0.48,0.48,0.48,0.48,10000
23-Nov-15,0.48,0.48,0.48,0.48,2198
20-Nov-15,0.47,0.48,0.47,0.48,895
19-Nov-15,0.48,0.48,0.46,0.46,10900
17-Nov-15,0.52,0.52,0.52,0.52,350
12-Nov-15,0.54,0.54,0.54,0.54,2000
11-Nov-15,0.55,0.55,0.55,0.55,100000
9-Nov-15,0.54,0.54,0.54,0.54,3100
6-Nov-15,0.53,0.54,0.53,0.54,3776
5-Nov-15,0.54,0.55,0.54,0.55,8400
2-Nov-15,0.55,0.56,0.53,0.53,157200
30-Oct-15,0.55,0.55,0.54,0.54,13900
29-Oct-15,0.57,0.59,0.56,0.56,186200
28-Oct-15,0.58,0.58,0.56,0.56,20500
27-Oct-15,0.53,0.53,0.53,0.53,1250
26-Oct-15,0.56,0.57,0.53,0.53,14200
23-Oct-15,0.57,0.57,0.57,0.57,1250
22-Oct-15,0.60,0.60,0.54,0.54,28400
21-Oct-15,0.54,0.54,0.54,0.54,5000
20-Oct-15,0.60,0.60,0.58,0.58,34500
16-Oct-15,0.60,0.60,0.58,0.58,7900
15-Oct-15,0.60,0.60,0.58,0.58,5575
14-Oct-15,0.59,0.60,0.59,0.59,45000
13-Oct-15,0.64,0.64,0.60,0.60,154000
8-Oct-15,0.58,0.62,0.57,0.60,212000
7-Oct-15,0.57,0.57,0.57,0.57,14999
6-Oct-15,0.53,0.53,0.52,0.52,79884
5-Oct-15,0.51,0.51,0.51,0.51,1000
2-Oct-15,0.47,0.47,0.47,0.47,20000
1-Oct-15,0.47,0.47,0.47,0.47,2500
